target_times_s,target_times_f,response_times_s,response_times_f,resonse_diff_f
4.266666666666667,512,4.406835079193115,529,-17
1.0666666666666667,128,1.3905129432678223,167,-39
0.5333333333333333,64,0.5238089561462402,63,1
1.0666666666666667,128,1.0906639099121094,131,-3
0.13333333333333333,16,0.2572309970855713,31,-15
2.1333333333333333,256,2.0238070487976074,243,13
0.26666666666666666,32,0.4071469306945801,49,-17
0.26666666666666666,32,0.49877500534057617,60,-28
4.266666666666667,512,2.648913860321045,318,194
0.26666666666666666,32,0.4405841827392578,53,-21
0.5333333333333333,64,0.6238150596618652,75,-11
0.13333333333333333,16,0.1989428997039795,24,-8
0.13333333333333333,16,0.1821129322052002,22,-6
0.13333333333333333,16,0.19066619873046875,23,-7
0.13333333333333333,16,0.19059014320373535,23,-7
2.1333333333333333,256,1.4238660335540771,171,85
2.1333333333333333,256,1.607266902923584,193,63
0.26666666666666666,32,0.2655220031738281,32,0
4.266666666666667,512,3.699021100997925,444,68
2.1333333333333333,256,1.7822110652923584,214,42
0.13333333333333333,16,0.24902582168579102,30,-14
0.26666666666666666,32,0.27406787872314453,33,-1
0.26666666666666666,32,0.4071929454803467,49,-17
2.1333333333333333,256,1.6490638256072998,198,58
0.13333333333333333,16,0.24068307876586914,29,-13
4.266666666666667,512,2.923917055130005,351,161
0.26666666666666666,32,0.3071150779724121,37,-5
2.1333333333333333,256,1.5240437984466553,183,73
0.5333333333333333,64,0.44057488441467285,53,11
4.266666666666667,512,4.090727090835571,491,21
4.266666666666667,512,4.007349967956543,481,31
0.13333333333333333,16,0.2238149642944336,27,-11
0.13333333333333333,16,0.25728797912597656,31,-15
4.266666666666667,512,3.6154701709747314,434,78
2.1333333333333333,256,2.182183027267456,262,-6
0.5333333333333333,64,0.5573060512542725,67,-3
1.0666666666666667,128,1.3322150707244873,160,-32
4.266666666666667,512,3.0155820846557617,362,150
0.5333333333333333,64,1.123986005783081,135,-71
1.0666666666666667,128,1.6656358242034912,200,-72
4.266666666666667,512,3.090456008911133,371,141
0.26666666666666666,32,0.4073050022125244,49,-17
1.0666666666666667,128,1.2573089599609375,151,-23
2.1333333333333333,256,1.540518045425415,185,71
2.1333333333333333,256,2.3571109771728516,283,-27
0.5333333333333333,64,0.5657250881195068,68,-4
0.5333333333333333,64,0.6239409446716309,75,-11
0.5333333333333333,64,0.5740489959716797,69,-5
1.0666666666666667,128,0.9155550003051758,110,18
0.5333333333333333,64,0.32393312454223633,39,25
0.13333333333333333,16,0.1405489444732666,17,-1
0.5333333333333333,64,0.49066805839538574,59,5
1.0666666666666667,128,1.065321922302246,128,0
4.266666666666667,512,3.240432024002075,389,123
2.1333333333333333,256,1.7320458889007568,208,48
1.0666666666666667,128,1.0406830310821533,125,3
0.26666666666666666,32,0.43239307403564453,52,-20
0.26666666666666666,32,0.44063591957092285,53,-21
1.0666666666666667,128,0.9323849678039551,112,16
1.0666666666666667,128,1.1071062088012695,133,-5
